region,icb,org_code,org_name,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,reporting_days,nctr_not_discharged_rate,nctr_discharged_rate
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,R1F,ISLE OF WIGHT NHS TRUST,98.41369863013699,38.0958904109589,60.31780821917808,35921.0,13905.0,22016.0,365,61.29005317223908,38.70994682776092
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,179.186301369863,69.63561643835617,109.55068493150685,65403.0,25417.0,39986.0,365,61.13786829350336,38.86213170649665
NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,394.6876712328767,155.72328767123287,238.96438356164384,144061.0,56839.0,87222.0,365,60.545185719938075,39.45481428006192
LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,336.241095890411,133.78082191780823,202.46027397260275,122728.0,48830.0,73898.0,365,60.21282836842449,39.78717163157552
SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,308.97534246575344,124.3945205479452,184.5808219178082,112776.0,45404.0,67372.0,365,59.739660920763285,40.260339079236715
SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,180.86849315068494,73.44383561643835,107.42465753424658,66017.0,26807.0,39210.0,365,59.39379250799036,40.60620749200963
EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,115.86849315068493,47.16438356164384,68.7041095890411,42292.0,17215.0,25077.0,365,59.294902109145944,40.70509789085406
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,211.61369863013698,87.62191780821918,123.99178082191781,77239.0,31982.0,45257.0,365,58.59345667344217,41.40654332655782
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RN7,DARTFORD AND GRAVESHAM NHS TRUST,97.99178082191781,40.75616438356165,57.23561643835617,35767.0,14876.0,20891.0,365,58.40858892275001,41.59141107724998
SOUTH WEST,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,205.53424657534248,85.4876712328767,120.04657534246576,75020.0,31203.0,43817.0,365,58.40709144228205,41.59290855771794
LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,84.96712328767123,35.35068493150685,49.61643835616438,31013.0,12903.0,18110.0,365,58.394866668816306,41.605133331183694
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,271.972602739726,113.5123287671233,158.46027397260275,99270.0,41432.0,57838.0,365,58.263322252442826,41.73667774755717
SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,125.15342465753425,52.320547945205476,72.83287671232877,45681.0,19097.0,26584.0,365,58.19487314200652,41.80512685799347
EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,159.1041095890411,67.32328767123288,91.78082191780823,58073.0,24573.0,33500.0,365,57.686015876569144,42.313984123430856
MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,129.3068493150685,55.054794520547944,74.25205479452055,47197.0,20095.0,27102.0,365,57.423141301353894,42.576858698646106
LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,209.94794520547944,90.9041095890411,119.04383561643836,76631.0,33180.0,43451.0,365,56.70159595985959,43.29840404014041
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,150.1972602739726,65.55068493150685,84.64657534246575,54822.0,23926.0,30896.0,365,56.356936996096465,43.64306300390354
